input|output
"Santa là gì?"| "Hệ sinh thái Santa (Santa Ecosystem) là một nền tảng đa dịch vụ, cung cấp đầy đủ công cụ và trao quyền cho đối tác tổ chức, người dùng cuối. Nền tảng này bao gồm 8 Đơn vị Kinh doanh (BU): SantaPocket, SantaEshop, SantaMarket, SantaFood, SantaSurprise, SantaCharity, SantaTransit, và Affina."
"SantaPocket là gì?"| "SantaPocket là giải pháp giao nhận hàng hóa thông minh, hoạt động dựa trên hệ thống tủ khóa tự động (smart locker). Dịch vụ cho phép người dùng hoàn toàn chủ động trong việc giao nhận thông qua ứng dụng di động, mang lại sự tiện lợi và an toàn."
"Làm thế nào để liên hệ với Santa?"| "Bạn có thể liên hệ Santa qua Hotline: 0974.549.066, OA: SantaPocket, hoặc Facebook: https://www.facebook.com/SantaPocket."
"SantaEshop là gì?"| "SantaEshop cho phép mua bán sản phẩm qua tủ thông minh và ứng dụng SantaPocket, mang lại trải nghiệm tiện lợi."
"SantaMarket là gì?"| "SantaMarket là nền tảng mua sắm trực tuyến thông qua ứng dụng SantaPocket với giá ưu đãi."
"SantaFood là gì?"| "SantaFood là tính năng đặt đồ ăn theo lịch trình do chính bạn thiết lập sẵn, bạn có thể sử dụng SantaFood để đặt đồ ăn từ các bếp ăn uy tín, hợp vệ sinh."
"SantaSurprise là gì?"| "SantaSurprise là tính năng nhận quà thông qua tủ SantaPocket. Chương trình mang đến cho người dùng cơ hội trải nghiệm các sản phẩm/dịch vụ từ các thương hiệu uy tín bằng cách đăng ký và nhận quà thông qua hệ thống tủ SantaPocket hoàn toàn miễn phí."
"SantaCharity là gì?"| "SantaCharity hỗ trợ đóng góp vật phẩm từ thiện thông qua tủ giao nhận hàng SantaPocket. Tính năng giúp các nhà hảo tâm, tình nguyện viên đến gần hơn những người cần giúp đỡ và làm việc thiện một cách dễ dàng và minh bạch."
"SantaTransit và Affina là gì?"| "SantaTransit và Affina hiện đang được phát triển."
"Các điểm đặt tủ SantaPocket ở đâu?"| "SantaPocket tập trung vào khu vực chung cư cao cấp, tòa nhà văn phòng và đang không ngừng mở rộng ở các khu vực công cộng khác như tổ chức từ thiện, bệnh viện,... Bạn có thể tìm kiếm điểm tủ bằng cách truy cập https://santapocket.com/diem-dat-tu/ hoặc truy cập ứng dụng SantaPocket, chọn “Tủ” và lọc theo thành phố và quận."
"Phí gửi tủ SantaPocket là bao nhiêu?"| "SantaPocket miễn phí 1 giờ đầu khi gửi hàng. Sau đó, tính phí theo từng 30 phút tùy theo thời gian lưu trữ. Cụ thể thì chi phí gửi tủ được tính từ giờ thứ hai trở đi sẽ theo khung giờ sau: 24h đầu tiên: 500đ/30 phút, 24h tiếp theo: 750đ/30 phút, 24h sau nữa: 1000đ/30 phút."
"Tôi có thể gửi hàng trong tủ SantaPocket trong bao lâu?"| "Sau 72h: CSKH liên hệ nhắc nhận hàng. Sau 168h: Thu hồi đơn về kho. Sau 1 tháng: Hủy lưu kho nếu không liên hệ được."
